trial_id,phase,event_name,event_code,trigger_timestamp,psychopy_time
task,task,task_start,31,627004.314246,
task,instruction,instruction_start,32,627004.325317,
MA01,trial,trial_start,33,627012.349776,
MA01,fixation,fixation,34,627012.360905,
MA01,prompt,problem_onset,35,627014.383604,
MA01,calculation,calculation_start,36,627020.400122,
MA01,response,response_prompt,37,627260.416005,
MA01,response,response,38,627290.449091,
MA02,trial,trial_start,33,627290.459921,
MA02,fixation,fixation,34,627290.470929,
MA02,prompt,problem_onset,35,627292.482608,
MA02,calculation,calculation_start,36,627298.499182,
MA02,response,response_prompt,37,627538.515413,
