TrialNumber,DifficultyLevel,EventName,EventCode,Timestamp
0,NA,task_start,31,0.019149
0,NA,instruction_start,32,0.019155
1,QM,trial_start,33,9.901630
1,QM,question_onset,34,10.914989
1,QM,response,35,16.917666
1,QM,inter_trial,36,16.917668
2,QH,trial_start,33,17.432006
2,QH,question_onset,34,18.448623
2,QH,response,35,25.686194
2,QH,inter_trial,36,25.686196
3,QM,trial_start,33,26.198582
3,QM,question_onset,34,27.214929
3,QM,response,35,28.115380
3,QM,inter_trial,36,28.115383
4,QE,trial_start,33,28.632104
4,QE,question_onset,34,29.648599
4,QE,response,35,30.065301
4,QE,inter_trial,36,30.065304
5,QE,trial_start,33,30.581595
5,QE,question_onset,34,31.598319
5,QE,response,35,32.064940
5,QE,inter_trial,36,32.064943
6,QM,trial_start,33,32.581503
6,QM,question_onset,34,33.582050
6,QM,response,35,34.131896
6,QM,inter_trial,36,34.131899
7,QE,trial_start,33,34.648723
7,QE,question_onset,34,35.660983
7,QE,response,35,36.115326
7,QE,inter_trial,36,36.115328
8,QM,trial_start,33,36.631831
8,QM,question_onset,34,37.631899
