difficulty_level,left_operand,right_operand,question,correct_answer,q_value,carry_count,digit_complexity
QM,34,6,34 + 6 = ?,40,2.0,1,1
QH,975,36,975 + 36 = ?,1011,6.0,3,3
QM,66,42,66 + 42 = ?,108,3.0,1,2
QE,7,5,7 + 5 = ?,12,1.0,1,0
QE,9,2,9 + 2 = ?,11,1.0,1,0
QM,736,4,736 + 4 = ?,740,3.0,1,2
QE,6,5,6 + 5 = ?,11,1.0,1,0
QM,48,21,48 + 21 = ?,69,2.0,0,2
QH,676,964,676 + 964 = ?,1640,7.0,3,4
QH,442,811,442 + 811 = ?,1253,5.0,1,4
QH,853,96,853 + 96 = ?,949,4.0,1,3
QH,311,853,311 + 853 = ?,1164,5.0,1,4
QH,272,95,272 + 95 = ?,367,4.0,1,3
QE,75,2,75 + 2 = ?,77,1.0,0,1
QE,4,8,4 + 8 = ?,12,1.0,1,0
QM,339,3,339 + 3 = ?,342,3.0,1,2
QE,17,2,17 + 2 = ?,19,1.0,0,1
QM,91,60,91 + 60 = ?,151,3.0,1,2
