TrialNumber,ItemId,Topic,LoadLevel,EventName,EventCode,Timestamp,Detail
0,,,,task_start,41,644322.268932,counterbalance_row=1
1,fourier_medium,傅立叶变换,medium,pretest_start,42,644334.919908,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_fourier_medium.csv
1,fourier_medium,傅立叶变换,medium,video_start,43,644343.513470,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_medium.mp4
1,fourier_medium,傅立叶变换,medium,video_end,44,644348.529963,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_medium.mp4|placeholder_missing_video|5.005346
1,fourier_medium,傅立叶变换,medium,rating_start,45,644348.846594,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_fourier_medium.csv
1,fourier_medium,傅立叶变换,medium,posttest_start,46,644349.429501,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_fourier_medium.csv
2,fourier_low,傅立叶变换,low,pretest_start,42,644350.112978,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_fourier_low.csv
2,fourier_low,傅立叶变换,low,video_start,43,644351.046673,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_low.mp4
2,fourier_low,傅立叶变换,low,video_end,44,644356.063262,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_low.mp4|placeholder_missing_video|5.005428
2,fourier_low,傅立叶变换,low,rating_start,45,644356.379978,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_fourier_low.csv
2,fourier_low,傅立叶变换,low,posttest_start,46,644356.804601,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_fourier_low.csv
3,fourier_high,傅立叶变换,high,pretest_start,42,644357.229732,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_fourier_high.csv
3,fourier_high,傅立叶变换,high,video_start,43,644357.596408,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_high.mp4
3,fourier_high,傅立叶变换,high,video_end,44,644362.613040,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/fourier_high.mp4|placeholder_missing_video|5.005478
3,fourier_high,傅立叶变换,high,rating_start,45,644362.929765,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_fourier_high.csv
3,fourier_high,傅立叶变换,high,posttest_start,46,644363.279910,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_fourier_high.csv
4,statistics_high,统计基础,high,pretest_start,42,644363.746514,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_statistics_high.csv
4,statistics_high,统计基础,high,video_start,43,644364.213261,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_high.mp4
4,statistics_high,统计基础,high,video_end,44,644369.229847,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_high.mp4|placeholder_missing_video|5.005437
4,statistics_high,统计基础,high,rating_start,45,644369.546636,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_statistics_high.csv
4,statistics_high,统计基础,high,posttest_start,46,644370.063202,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_statistics_high.csv
5,statistics_low,统计基础,low,pretest_start,42,644370.479623,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_statistics_low.csv
5,statistics_low,统计基础,low,video_start,43,644370.896606,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_low.mp4
5,statistics_low,统计基础,low,video_end,44,644375.913042,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_low.mp4|placeholder_missing_video|5.005216
5,statistics_low,统计基础,low,rating_start,45,644376.229817,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_statistics_low.csv
5,statistics_low,统计基础,low,posttest_start,46,644376.696593,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_statistics_low.csv
6,statistics_medium,统计基础,medium,pretest_start,42,644377.079988,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/pretest_statistics_medium.csv
6,statistics_medium,统计基础,medium,video_start,43,644377.462932,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_medium.mp4
6,statistics_medium,统计基础,medium,video_end,44,644382.479720,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/videos/statistics_medium.mp4|placeholder_missing_video|5.005588
6,statistics_medium,统计基础,medium,rating_start,45,644382.796333,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/rating_statistics_medium.csv
6,statistics_medium,统计基础,medium,posttest_start,46,644383.129839,/Users/liujiany/work/CognitiveLoad/code_exp/stimuli/questionnaires/posttest_statistics_medium.csv
END,,,,task_end,47,644383.529894,completed_trials=6
